"Preis";"Kerne";"Takt_Prozessor";"Arbeitsspeicher";"Bild_Display";"Speicher_Grafik";"extern_Schnittstellen";"HDD";"SSD";"Akku_Kapazitaet";"PPI_Display";"Pixelshader";"Typ_Arbeitsspeicher_DDR_4";"Laufwerk_VORHANDEN";"Lautsprecher_UEBERDURCHSCHN";"Tastatur_Beleuchtung_vorhanden";"Fingerabdrucksensor_vorhanden";"Touchscreen_vorhanden";"Mobilfunk_vorhanden";"NFC_vorhanden";"Akku_Typ_ION";"Marke_HP";"Marke_ASUS";"Marke_Acer";"Marke_Apple";"Marke_Dell";"Marke_Lenovo";"Betriebssystem_Windows";"Betriebssystem_Mac";"Betriebssystem_DOS";"Betriebssystem_LINUX";"Betriebssystem_OHNE";"Mikrofon_Sound_vorhanden"
1099;4;1800;16;15,6;4096;5;0;256;45;141;384;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
569;4;1600;8;15,6;0;5;0;256;37;141;24;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
2079;6;2200;16;15,6;4096;5;0;512;97;282;768;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1
1049;4;1800;8;13,3;0;3;0;256;50;165;24;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
569;4;1600;8;14;0;6;0;256;42;157;24;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1599;4;1900;16;14;0;8;0;512;60;157;24;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
629;4;1600;8;15,6;2048;6;1000;128;45;141;24;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1
999;6;2200;8;15,6;4096;6;1000;128;56;141;768;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1
999;6;2200;16;15,6;4096;6;1000;128;52,5;141;768;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1
2199;6;2600;16;17,3;8192;8;0;1000;58,7;127;2304;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
1329;2;2500;8;13,3;0;4;0;256;57;165;24;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1
799;4;1600;8;13,3;0;6;0;512;50;165;24;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
469;2;2500;8;15,6;0;5;0;256;33;141;24;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1299;4;1600;16;13,3;0;4;0;512;38;331;24;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
1040,95;4;1800;8;14;2048;5;0;512;48;157;384;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
699;4;1800;8;15,6;2048;6;0;512;41;141;24;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1299;4;1600;16;13,3;0;6;0;512;45;165;24;1;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
919;4;1800;16;17,3;2048;6;1000;256;36;127;256;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
1799;4;1800;16;13,3;0;4;0;1000;61;165;24;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
999;4;1800;16;14;2048;6;0;512;41;157;384;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
